Company,Revenue USD Mil,Earnings Per Share USD,Dividends USD,Shares Mil,Operating Cash Flow USD Mil,Working Capital USD Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
SANW,64.0,-0.21,,22.0,-22.0,37.0,-6.61,-3.71,-1.25,2.31,59.33,105.66,49.66,1.07,4.79,1.88,0.16,6.07,2.8
SASR,321.0,2.82,1.1,36.0,148.0,,12.36,1.47,,3.24,12.95,,,,5.51,,0.83,,34.5
SATS,2091.0,-0.42,,96.0,735.0,2236.0,-0.98,-0.46,0.96,28.06,47.89,36.41,55.22,9.82,0.61,2.66,0.62,1.32,34.667747
SAVA,,-0.61,,11.0,-5.0,20.0,-44.72,-42.34,,,97.46,,,,,39.22,,,1.2
SBAC,1866.0,0.41,,117.0,851.0,-832.0,,0.65,1.14,8.03,-46.81,19.73,26.33,,0.67,0.31,,,224.83999599999999
SBBP,18.0,0.31,,50.0,-85.0,115.0,63.05,23.23,3.59,1.81,66.33,32.5,111.3,1.79,116.68,7.67,,141.13,2.84
SBBX,55.0,1.25,0.28,8.0,16.0,,7.1,0.72,,2.6,10.33,,,,3.97,,0.39,,22.35
SBCF,262.0,1.38,,49.0,130.0,,8.66,1.07,,1.54,12.81,,,,3.79,,0.52,,27.040001
SBFG,50.0,1.51,0.32,8.0,14.0,,10.85,1.14,,4.01,13.22,,,,2.3,,0.14,,17.690001000000002
SBGI,3055.0,3.35,0.74,102.0,647.0,1211.0,21.28,5.11,2.06,3.44,24.79,69.6,47.42,,4.7,3.12,2.35,,39.84
SBLK,652.0,0.76,,77.0,169.0,76.0,4.48,2.26,1.86,50.44,50.3,15.94,12.09,19.94,0.29,1.34,0.84,,9.65
SBNY,1322.0,9.23,1.12,55.0,652.0,,11.95,1.12,,0.87,9.3,,,,21.92,,1.19,,123.360001
SBPH,,-1.88,,15.0,-25.0,45.0,-50.45,-37.73,,,81.18,,,,,11.61,,,4.74
SBRA,623.0,1.51,1.8,179.0,359.0,201.0,8.06,3.93,2.92,,48.8,98.38,,,,3.12,0.99,,20.540001
SBSI,212.0,2.11,1.18,35.0,122.0,,9.98,1.17,,6.35,11.94,,,,1.57,,1.2,,34.110001000000004
SBT,114.0,0.82,,46.0,44.0,,17.44,1.48,,2.11,9.23,,,,17.66,,1.47,,12.7
SBUX,24720.0,3.24,1.26,1394.0,11937.0,6810.0,136.51,23.46,34.94,8.0,4.84,11.54,20.61,12.56,4.56,2.2,7.77,,74.339996
SCHL,1628.0,-0.14,0.6,35.0,142.0,513.0,-0.38,-0.28,0.25,7.46,72.36,45.29,83.36,2.58,3.16,2.15,,,42.040001000000004
SCHN,2365.0,5.47,0.75,29.0,160.0,194.0,26.08,15.35,16.79,3.28,60.51,23.8,20.25,10.79,5.87,1.76,0.16,,24.299999
SCKT,16.0,-0.09,,6.0,1.0,2.0,-3.85,-3.07,,2.57,71.57,56.06,60.37,3.58,24.34,1.42,0.04,22.12,2.0
SCON,2.0,-4.03,,2.0,-7.0,5.0,-137.15,-119.49,,12.15,88.59,17.71,34.97,25.13,1.11,6.87,,151.16,0.82
SCOR,419.0,-2.76,,58.0,-73.0,-23.0,-26.37,-16.12,,3.29,57.81,68.58,52.62,,14.92,0.86,0.32,18.35,5.16
SCPH,,-1.59,,19.0,-29.0,85.0,-31.87,-27.51,-19.56,,83.99,,,,,13.77,0.1,,3.9
SCPL,416.0,0.31,,126.0,77.0,3.0,25.86,19.19,,0.84,71.11,28.68,24.35,,237.83,1.06,,6.15,11.239999999999998
SCSC,3846.0,1.29,,26.0,28.0,652.0,3.89,1.81,7.66,0.21,44.54,62.45,57.57,6.05,59.35,1.92,0.29,,38.040001000000004
SCVL,1030.0,2.45,0.32,15.0,74.0,267.0,12.42,9.11,336.71,0.72,72.83,1.33,22.91,2.78,13.13,4.77,,,34.029999
SCYX,,-0.28,,44.0,-28.0,46.0,-47.38,-25.18,-8.35,219.84,58.73,4958.75,,,0.5,8.76,0.48,,1.12
SDC,423.0,-0.19,,385.0,-115.0,325.0,,-24.06,-4.43,9.89,-16.29,63.67,45.18,23.29,13.13,3.77,,,9.97
SDGR,67.0,-0.59,,48.0,-24.0,78.0,,-31.8,,7.89,-59.27,63.02,33.75,,9.94,3.88,,51.81,
SEAC,80.0,0.38,,36.0,13.0,48.0,17.39,11.47,,0.66,71.83,110.32,51.37,36.66,7.66,2.64,,28.86,2.71
SECO,,,,25.0,,,,-4.1,,0.52,54.93,3.67,34.6,3.22,98.45,2.3,0.1,1.66,10.38
SEDG,937.0,2.69,,48.0,189.0,452.0,26.84,16.05,55.07,4.12,58.82,55.13,52.14,5.51,10.99,3.0,0.01,8.78,62.459998999999996
SEED,,,,3.0,,,-350.84,-40.75,-5.71,23.07,-5.76,789.75,243.67,0.17,0.07,0.5,,209.89,6.22
SEEL,,-12.13,,1.0,-8.0,3.0,-266.23,-176.61,,,68.4,,,,,3.14,,,1.85
SEIC,1624.0,3.14,0.63,161.0,588.0,895.0,32.96,26.45,953.26,4.51,80.8,29.18,4.08,,11.11,4.03,,,56.099998
SELB,1.0,-2.92,,22.0,-59.0,7.0,-281.65,-89.76,-42.73,97.9,-12.18,,,,0.43,1.2,,,1.8
SELF,8.0,0.08,0.26,8.0,2.0,,1.64,1.05,1.69,,63.5,3.85,,,,0.97,0.52,2.44,4.0
SENEA,1315.0,-0.87,,10.0,-13.0,584.0,-3.32,-1.37,-0.34,2.48,37.08,20.94,20.96,1.94,5.11,4.0,1.14,,28.219998999999998
SENEB,1315.0,-0.87,,10.0,-13.0,584.0,-3.32,-1.37,-0.34,2.48,37.08,20.94,20.96,1.94,5.11,4.0,1.14,,29.93
SES,2.0,-7.01,,1.0,-6.0,6.0,-95.5,-64.8,-10.2,,37.2,54.98,385.68,21.43,88.65,4.8,1.01,,6.32
SESN,,-0.55,,62.0,-23.0,46.0,-108.27,-36.1,,,39.63,,,,,8.47,,,1.18
SFBC,32.0,2.74,0.54,3.0,10.0,,10.29,1.03,,2.0,9.99,,,,4.43,,1.17,,35.0
SFBS,280.0,2.53,0.48,54.0,168.0,,20.71,1.81,,0.82,8.93,,,,4.8,,0.09,,33.939999
SFET,1.0,-279.6,,,-9.0,3.0,-343.1,-191.18,,24.01,58.26,186.48,64.83,,9.52,3.07,,164.67,33.400002
SFIX,1227.0,0.34,,81.0,72.0,275.0,18.86,9.62,,1.35,65.42,,33.99,9.04,40.27,2.93,,,27.33
SFM,5207.0,1.22,,130.0,294.0,24.0,25.57,9.73,8.35,3.4,35.16,2.33,12.62,14.01,7.04,1.08,0.97,,19.799999
SFNC,682.0,2.32,0.6,93.0,261.0,,9.96,1.37,,4.36,13.58,,,,2.34,,0.76,,24.74
SFST,70.0,2.88,,8.0,32.0,,13.78,1.26,,2.76,9.15,,,,2.18,,0.36,,38.169998
SG,1457.0,-0.36,,119.0,108.0,,-2.39,-0.73,1.77,,28.38,,,,,,0.41,,11.5
SGA,125.0,2.3,1.2,6.0,26.0,45.0,7.37,5.4,21.5,12.19,74.45,61.31,14.05,,2.16,2.96,0.08,,31.219998999999998
SGBX,8.0,-454.8,,,-3.0,,-52.06,-36.71,,0.94,64.14,105.89,,,209.66,1.1,,,17.0
SGC,346.0,1.1,0.39,15.0,20.0,151.0,12.31,6.13,7.67,1.41,45.04,60.38,36.09,3.4,12.46,4.25,0.74,,16.620001000000002
SGEN,655.0,-1.41,,158.0,-204.0,429.0,-22.82,-18.7,,3.24,84.74,64.41,152.0,1.56,6.31,2.9,,86.35,74.279999
SGH,1289.0,5.17,,23.0,68.0,226.0,88.65,20.73,,2.0,27.81,59.55,75.56,5.72,23.06,1.76,0.98,3.09,28.41
SGLB,,-8.1,,1.0,-4.0,1.0,-235.47,-191.87,,58.81,71.38,67.32,215.11,1.25,1.13,2.51,,126.98,1.2
SGMA,278.0,-0.77,,4.0,-5.0,61.0,-5.37,-2.08,-1.8,1.34,36.48,34.97,68.34,3.13,8.14,2.02,0.7,,4.25
SGMO,84.0,-0.7,,97.0,37.0,332.0,-24.65,-15.58,,50.99,62.16,17.32,,,1.54,5.23,0.08,136.01,10.77
SGMS,3363.0,-3.87,,91.0,346.0,621.0,,-4.56,0.43,11.62,-31.92,61.87,60.41,5.47,6.03,1.83,,6.02,20.450001
SGOC,,-0.99,,11.0,-8.0,2.0,-13.15,-11.29,-913.85,,85.13,425.83,62.1,,0.2,1.69,,,1.07
SGRP,181.0,-0.04,,21.0,7.0,14.0,-4.89,-1.6,13.33,0.8,37.73,57.9,16.29,,69.12,1.45,0.01,,1.24
SGRY,1771.0,-4.96,,48.0,144.0,239.0,-44.96,-5.12,,2.25,10.16,61.36,22.52,30.83,4.3,1.68,5.98,,9.79
SHBI,59.0,1.96,0.32,13.0,18.0,,14.41,1.74,,1.92,12.35,,,,2.58,,0.08,,15.61
SHEN,631.0,0.93,0.27,50.0,266.0,122.0,11.76,3.22,2.78,21.66,29.79,31.41,45.94,47.04,0.91,2.37,1.7,,40.209998999999996
SHIP,92.0,-8.4,,3.0,6.0,-19.0,-67.26,-7.75,-0.09,34.4,7.96,12.51,58.98,14.23,0.37,0.47,8.95,,0.71
SHLO,1140.0,0.49,,23.0,53.0,89.0,5.92,1.73,1.55,4.4,28.11,63.78,61.22,15.37,3.91,1.37,1.23,,5.5
SHOO,1654.0,1.5,0.54,86.0,154.0,478.0,16.06,12.13,,0.75,75.76,7.12,25.81,8.38,24.26,3.13,,,33.950001
SHSP,19.0,-1.11,,9.0,-4.0,9.0,-60.18,-42.63,,4.79,53.27,8.3,66.68,,18.11,4.26,0.65,23.04,12.63
SIBN,55.0,-2.2,,8.0,-15.0,127.0,,-20.02,-2.42,1.7,65.11,52.4,149.53,1.64,27.35,15.11,0.43,9.71,17.98
SIC,490.0,-0.1,,26.0,12.0,108.0,-1.67,-0.67,0.87,1.74,35.74,40.57,38.8,3.64,29.66,2.39,1.22,,11.46
SIEB,30.0,0.44,,27.0,5.0,10.0,106.87,98.85,,4.67,94.48,20.82,15.25,,73.7,13.22,0.01,,10.64
SIEN,68.0,-3.25,,25.0,-56.0,72.0,-174.87,-63.42,-23.1,1.26,39.72,77.94,129.24,1.19,18.67,2.12,0.42,16.07,8.42
SIFY,,,,151.0,,,10.69,4.02,3.28,8.86,36.81,139.14,76.15,14.7,2.99,1.15,0.23,,1.63
SIGA,477.0,5.18,,83.0,69.0,110.0,,242.34,27.59,0.02,50.59,1.44,5.09,36.76,3078.62,10.7,0.73,,5.55
SIGI,2586.0,3.0,0.74,60.0,455.0,,10.21,2.29,9.67,0.62,22.53,,,,40.03,,0.25,,69.120003
SILC,126.0,2.85,1.0,8.0,1.0,104.0,16.56,14.05,,1.35,86.59,98.8,52.84,1.67,31.28,6.48,,11.07,39.5
SILK,35.0,-1.31,,29.0,-22.0,28.0,,-61.27,-7.63,6.59,-32.35,51.41,46.96,2.42,20.53,4.15,,29.68,41.639998999999996
SIMO,523.0,2.08,0.9,36.0,104.0,392.0,16.0,11.53,235.04,2.23,71.22,54.32,59.11,3.28,10.55,3.21,,19.5,48.630001
SINA,1584.0,2.09,,74.0,596.0,2830.0,5.67,3.1,,2.84,56.23,41.49,105.24,,6.28,3.22,0.31,16.88,84.690002
SINO,23.0,0.04,,12.0,-2.0,17.0,2.09,2.09,,10.63,78.62,87.02,40.19,,40.33,3.6,,,1.03
SINT,,-76.73,,,-9.0,5.0,-325.87,-172.44,-5.98,64.21,72.94,2887.34,6625.4,0.09,0.12,2.95,,,2.550003
SIRI,5771.0,0.26,0.05,4561.0,1880.0,-2324.0,,14.25,5.06,6.16,-22.23,5.97,120.9,108.9,3.88,0.17,,2.14,5.93
SITM,85.0,-0.65,,14.0,-1.0,-6.0,-65.12,-12.67,-5.2,5.88,15.15,92.62,40.31,2.73,7.09,0.91,,26.73,21.45
SIVB,2601.0,18.11,,54.0,934.0,,20.95,1.8,,1.76,9.01,,,,20.17,,0.14,,224.58999599999999
SIVBP,2601.0,,,,934.0,,20.95,1.8,,1.76,9.01,,,,20.17,,0.14,,25.85
SKYS,57.0,-2.0,,21.0,-1.0,-34.0,-28.94,-6.27,-2.24,0.74,17.56,61.83,290.38,1.18,65.25,0.81,2.27,,2.625
SKYW,3222.0,5.3,0.4,53.0,803.0,96.0,15.08,4.76,4.04,35.35,31.11,6.06,45.79,20.0,0.7,1.1,1.43,,58.720001
SLAB,868.0,1.9,,44.0,174.0,682.0,8.28,5.29,4.66,2.82,65.71,30.39,42.1,4.68,6.51,5.71,0.33,27.45,105.93
SLCT,52.0,0.87,,16.0,5.0,,7.97,1.12,,2.99,16.66,,,,2.88,,0.27,,11.57
SLDB,,-2.25,,33.0,-70.0,116.0,-226.92,-69.32,,,89.67,,,,,10.31,0.01,,9.08
SLGG,1.0,-2.47,,8.0,-11.0,-8.0,,-454.87,-3.62,82.7,-136.24,104.84,319.56,,1.25,0.32,,1.64,6.75
SLGL,,-1.8,,18.0,-23.0,61.0,-574.54,-75.77,,815.5,91.72,,,,0.05,13.48,,,8.29
SLGN,4449.0,2.01,0.4,112.0,507.0,211.0,27.19,4.86,3.52,4.29,19.24,39.63,66.63,5.54,2.96,1.2,2.42,,29.940001000000002
SLM,1361.0,1.07,,440.0,-103.0,,20.31,1.95,,,11.16,,,,13.94,,1.67,,9.11
SLMBP,1361.0,,,,-103.0,,20.31,1.95,,,11.16,,,,13.94,,1.67,,58.68
SLNO,,-0.64,,21.0,-12.0,23.0,-46.83,-32.46,,,70.48,,,,,13.14,,,1.79
SLP,30.0,0.5,0.24,18.0,9.0,13.0,30.96,21.85,67.25,7.85,73.76,58.83,13.53,,94.73,3.69,,6.04,20.85
SLRC,76.0,1.58,1.64,42.0,191.0,,7.27,4.02,,,54.6,,,,,,0.52,,20.65
SLRX,1.0,-30.5,,1.0,-24.0,9.0,-114.21,-96.61,,,89.35,4.43,994.36,1.39,4.13,9.32,,,8.325
SLS,,-157.72,,,-30.0,,,-163.56,,,31.01,,,,,0.98,,,8.5
SMBC,75.0,2.39,0.44,9.0,31.0,,11.2,1.16,,2.86,10.64,,,,1.37,,0.47,,35.209998999999996
SMBK,81.0,1.45,,13.0,21.0,,7.41,0.91,,4.74,12.44,,,,1.64,,0.18,,20.790001
SMCI,3360.0,0.89,,52.0,84.0,719.0,5.71,2.81,16.4,0.74,47.67,42.11,57.55,3.69,17.14,1.89,,4.91,19.35
SMED,40.0,-0.04,,16.0,2.0,10.0,-2.66,-1.99,-5.93,3.23,75.75,63.3,22.51,7.11,6.12,2.71,0.06,,3.53
SMIT,14.0,0.06,,3.0,-1.0,8.0,2.55,2.08,,0.06,84.31,57.71,49.58,1.58,16.98,5.66,,2.36,2.59
SMMF,86.0,2.26,0.53,12.0,39.0,,13.33,1.3,,7.99,9.99,,,,2.39,,0.09,,25.6
SMMT,,,,13.0,,,-223.47,-15.58,,1.88,18.3,,14071.01,,54.96,1.89,,113.97,2.35
SMPL,431.0,0.96,,74.0,61.0,155.0,11.08,7.43,5.23,0.41,69.01,31.22,21.21,7.58,184.77,6.07,0.28,,20.459999
SMRT,1319.0,-0.52,0.07,46.0,48.0,96.0,-41.04,-4.82,,1.61,10.04,,43.2,3.52,8.33,1.46,2.95,,1.87
SMSI,26.0,-0.14,,22.0,-3.0,17.0,-25.02,-16.09,,0.66,81.59,85.23,105.0,,25.11,5.94,,32.73,3.04
SMTC,627.0,1.02,,68.0,184.0,355.0,9.36,5.87,,2.72,64.23,38.53,58.64,3.71,5.16,3.74,0.28,17.53,48.610001000000004
SMTX,216.0,-0.02,,19.0,-8.0,31.0,-1.74,-0.31,1.08,2.04,14.6,85.9,95.65,5.15,11.24,1.25,2.04,,3.39
SNBR,1532.0,1.92,,36.0,132.0,-338.0,,14.76,15.64,2.97,-23.3,5.26,82.84,7.14,7.39,0.31,,1.88,41.84
SNCA,,-7.54,,1.0,-8.0,5.0,-67.72,-45.66,-638.73,0.66,78.72,425.97,,,1.98,6.19,,,5.8
SNCR,326.0,-6.05,,40.0,-31.0,51.0,-74.71,-29.21,-64.35,7.99,51.97,101.37,22.45,,3.63,1.21,0.05,24.3,6.14
SND,212.0,0.46,,40.0,51.0,25.0,9.36,6.59,11.51,45.23,65.37,36.39,47.18,10.47,1.03,2.03,0.23,,2.52
SNDE,104.0,-17.9,,1.0,,1.0,-11.96,-5.06,-0.8,0.63,39.01,18.89,26.38,37.79,2.9,1.01,1.07,,54.799999
SNDL,,,,84.0,,,-103.01,-67.65,,,53.23,,,2.35,,0.75,0.01,,3.25
SNDX,2.0,-2.92,,25.0,-69.0,67.0,-94.0,-66.9,,12.33,63.2,,,,4.74,5.18,,,7.29
SNES,,-252.4,,,-9.0,6.0,-176.94,-143.36,-159.92,80.47,81.43,95.24,427.1,0.27,0.23,5.73,0.04,809.43,20.200001
SNFCA,280.0,1.13,,19.0,7.0,,13.54,2.13,4.76,0.46,16.35,,,,16.02,,0.82,,5.01
SNGX,5.0,-0.68,,13.0,-7.0,6.0,-141.27,-88.82,,0.04,59.86,74.09,154.0,,184.57,2.46,,128.8,0.92
SNOA,17.0,-28.49,,1.0,-12.0,13.0,-77.96,-64.16,-357.2,1.12,79.8,39.93,49.33,3.68,14.03,4.98,0.01,9.45,13.14
SNPS,3121.0,2.82,,153.0,424.0,-559.0,12.81,7.49,24.29,3.27,56.66,58.79,26.04,6.01,10.85,0.73,0.04,34.76,116.440002
SNSS,,-0.75,,36.0,-24.0,4.0,,-107.19,-22.06,,26.06,,,,15.29,1.34,,,0.72
SNY,,,,2510.0,,,7.36,4.08,11.13,5.54,52.92,74.05,154.39,1.6,3.71,1.42,0.37,16.52,43.450001
SOHO,178.0,-0.42,0.48,14.0,26.0,30.0,-6.55,-1.27,0.99,,16.6,13.33,42.07,,72.27,2.55,4.75,,6.78
SOHOB,178.0,,,,26.0,30.0,-6.55,-1.27,0.99,,16.6,13.33,42.07,,72.27,2.55,4.75,,25.42
SOHON,178.0,,,,26.0,30.0,-6.55,-1.27,0.99,,16.6,13.33,42.07,,72.27,2.55,4.75,,25.73
SOHOO,178.0,,,,26.0,30.0,-6.55,-1.27,0.99,,16.6,13.33,42.07,,72.27,2.55,4.75,,25.200001
SOHU,1861.0,-14.3,,39.0,184.0,1475.0,-63.58,-18.63,-47.15,7.81,32.32,43.84,84.91,,3.6,2.28,0.16,22.15,30.92
SOLO,,,,27.0,,,-70.3,-47.64,,537.85,77.7,56.15,346.85,1.76,0.23,12.52,,716.07,2.41
SOLY,,-0.73,,15.0,-5.0,-21.0,,,-7.35,,,,,,,0.01,,,11.15
SONA,99.0,1.39,0.32,24.0,41.0,,10.04,1.27,,1.99,12.89,,,,2.91,,0.16,,15.31
SONG,,,,23.0,,,0.45,0.43,,,95.92,,,,,1.13,,,
SONM,136.0,-0.45,,20.0,4.0,16.0,,-18.19,2.11,1.88,7.62,39.95,80.32,5.68,151.16,1.33,2.58,17.14,5.445
SONO,1137.0,-0.24,,66.0,31.0,201.0,-14.98,-3.16,,3.14,35.47,19.35,87.25,4.22,12.6,1.68,0.16,12.5,11.34
SORL,391.0,1.26,,19.0,34.0,111.0,15.58,5.51,11.24,14.15,31.19,110.53,117.1,3.18,4.98,1.32,0.22,2.82,4.64
SP,1468.0,2.35,,23.0,71.0,-39.0,15.61,5.8,8.92,0.61,34.37,32.64,30.25,,43.38,0.84,1.01,,34.509997999999996
SPAR,816.0,0.43,0.1,35.0,8.0,107.0,8.44,4.58,16.99,1.1,52.69,42.47,29.77,9.72,14.61,1.78,0.14,0.9,10.96
SPCB,33.0,-0.45,,15.0,-2.0,9.0,-18.65,-12.37,-32.43,4.49,60.35,124.9,87.85,3.75,27.92,1.53,,21.76,2.01
SPFI,145.0,1.68,,17.0,27.0,,18.73,1.11,,2.16,5.7,,,,2.38,,1.13,,16.360001
SPI,127.0,-13.0,,7.0,-4.0,-255.0,,-26.82,-3.93,0.54,-32.48,130.18,198.7,8.35,1.35,0.34,,,3.98
SPKE,1006.0,-0.69,0.72,13.0,60.0,150.0,-22.66,-1.87,-0.89,0.14,30.74,56.65,32.29,202.56,159.15,2.06,3.05,,9.57
SPKEP,1006.0,,,,60.0,150.0,-22.66,-1.87,-0.89,0.14,30.74,56.65,32.29,202.56,159.15,2.06,3.05,,24.607
SPLK,1803.0,-1.89,,146.0,296.0,2333.0,-23.68,-8.42,-5.27,1.28,33.79,87.2,16.66,,11.3,3.23,1.07,24.51,125.75
SPNE,143.0,-2.18,,15.0,-13.0,94.0,-27.06,-21.85,,5.82,82.44,53.7,54.12,1.33,6.42,4.52,,8.41,13.63
SPNS,269.0,0.01,0.2,50.0,8.0,61.0,0.18,0.11,-0.19,3.04,53.66,59.6,14.13,,26.26,1.87,0.39,11.87,11.03
SPOK,169.0,-0.08,0.5,20.0,10.0,86.0,-0.52,-0.44,,3.49,83.78,69.64,18.67,19.18,14.27,2.91,,14.44,13.26
SPPI,109.0,-1.17,,103.0,-62.0,164.0,-37.82,-27.33,,2.52,72.47,103.71,535.9,5.78,224.5,2.9,,86.85,8.61
SPRO,4.0,-2.6,,16.0,-40.0,112.0,-41.64,-37.45,,61.42,89.78,63.82,,,1.96,10.08,,854.39,10.97
SPRT,70.0,-0.48,,19.0,1.0,47.0,-17.44,-14.11,,0.3,74.14,63.61,2.76,,75.76,3.96,,4.0,1.95
SPSC,248.0,0.68,,35.0,55.0,193.0,8.01,6.62,,5.54,82.61,38.51,19.88,,13.13,4.42,,8.9,51.869999
SPT,79.0,-0.52,,40.0,-17.0,12.0,,-35.74,-32.89,2.66,35.82,39.26,35.67,,5.17,1.38,,32.26,16.049999
SPTN,8065.0,0.93,0.72,35.0,171.0,525.0,4.57,1.63,2.34,0.89,36.31,14.19,19.28,12.08,13.68,2.1,0.95,,14.16
SPWH,810.0,0.42,,43.0,31.0,125.0,44.47,4.89,3.39,5.09,13.12,0.16,23.28,2.07,9.14,1.8,2.66,,5.07
SPWR,1726.0,-5.76,,141.0,-543.0,369.0,,-27.12,-7.32,9.0,-9.1,41.35,66.07,6.12,1.38,1.52,,4.73,7.49
SQBG,170.0,-0.16,,65.0,32.0,30.0,-3.77,-0.96,,2.66,27.18,135.63,,,21.24,1.47,2.13,,0.55
SRAX,23.0,-1.58,,8.0,-4.0,1.0,-51.8,-26.37,-1.37,3.24,71.52,99.73,285.69,,222.33,1.22,0.1,,4.28
SRCE,311.0,3.16,0.96,26.0,144.0,,11.06,1.34,,7.77,12.11,,,,1.63,,0.15,,46.400002
SRCL,3486.0,-2.91,,87.0,165.0,14.0,-9.24,-3.77,-1.58,3.75,40.14,64.07,36.42,,4.7,1.02,1.03,,47.75
SRDX,81.0,-0.34,,13.0,34.0,46.0,-4.05,-2.96,,17.33,66.17,36.1,64.44,3.72,3.06,2.32,,50.37,47.060001
SREV,238.0,-0.27,,92.0,4.0,58.0,-23.26,-11.52,-2.3,6.55,74.56,84.84,7.75,,6.74,3.07,0.01,2.7,1.04
SRNE,21.0,-1.92,,106.0,-112.0,118.0,-99.52,-38.56,-2.71,52.82,33.46,52.05,613.37,,0.97,2.91,1.07,363.15,2.67
SRPT,301.0,-5.46,,66.0,-389.0,1252.0,-39.74,-24.54,-9.76,21.37,62.86,47.12,225.75,0.33,4.29,8.21,0.41,133.49,116.940002
SRRA,,-30.16,,2.0,-45.0,99.0,-56.38,-50.4,,,86.31,,,,,10.77,0.05,,22.4
SRRK,,-3.15,,16.0,25.0,147.0,-185.78,-40.6,,,58.8,,,,,5.72,,,15.11
SRTS,26.0,-0.14,,14.0,-9.0,26.0,-10.61,-7.77,-11.91,3.23,79.58,125.02,,6.8,41.13,5.3,,23.69,6.0
SSB,655.0,4.86,1.38,37.0,284.0,,7.65,1.23,,2.22,16.12,,,,2.64,,0.05,,73.66999799999999
SSBI,24.0,0.96,0.48,6.0,4.0,,9.62,0.95,,3.64,9.89,,,,4.32,,0.92,,11.79
SSKN,30.0,-0.15,,20.0,3.0,15.0,-10.88,-6.75,,5.9,65.78,39.94,57.91,4.39,4.59,2.69,0.23,3.57,2.6
SSNC,3421.0,0.42,0.3,243.0,640.0,126.0,2.84,0.95,1.45,2.6,28.43,37.1,6.09,,10.46,1.07,1.78,9.3,55.650002
SSNT,41.0,0.06,,4.0,1.0,-1.0,6.13,2.37,9.9,1.86,36.9,20.99,31.24,,65.31,0.78,0.27,,3.02
SSP,1208.0,0.24,0.2,82.0,141.0,273.0,2.19,0.96,3.05,5.01,43.48,79.54,12.39,,5.4,2.38,0.74,,15.33
SSRM,421.0,0.05,,121.0,60.0,650.0,0.65,0.42,1.58,17.88,65.41,11.34,16.64,1.72,0.62,8.81,0.25,,13.9
SSSS,-7.0,0.04,,21.0,10.0,,0.45,0.25,,,59.17,,,,,,0.2,,6.42
SSTI,35.0,-0.26,,11.0,-1.0,-2.0,-18.6,-6.54,,24.44,36.39,100.8,36.07,,2.47,0.94,,14.35,37.59
SSYS,663.0,-0.22,,54.0,64.0,508.0,-1.05,-0.86,,3.74,82.27,74.52,46.27,2.83,3.42,3.89,0.02,14.92,23.25
STAA,124.0,0.11,,45.0,13.0,124.0,5.67,4.22,,1.81,79.14,64.49,70.63,2.16,11.68,5.47,,17.77,32.48
STAF,193.0,-7.39,,3.0,-7.0,-11.0,,-29.42,-1.71,0.36,-7.82,52.73,12.05,,151.87,0.77,,,2.08
STAY,1275.0,0.59,0.87,190.0,450.0,112.0,14.41,2.82,3.18,13.68,23.12,5.92,,,0.35,1.53,3.05,,16.719998999999998
STBA,282.0,3.01,0.99,35.0,128.0,,11.54,1.47,,1.48,12.9,,,,6.67,,0.12,,37.84
STCN,645.0,0.53,,82.0,12.0,-26.0,41.48,6.38,-0.18,2.86,17.27,51.11,50.22,13.24,10.31,0.91,3.56,,1.95
STFC,1273.0,0.29,0.4,43.0,-13.0,,1.51,0.43,3.26,,28.26,,,,176.83,,0.15,,33.630001
STIM,53.0,-2.69,,9.0,-21.0,101.0,,-30.9,-5.53,1.92,60.71,34.19,91.92,5.08,38.56,8.44,0.43,15.6,11.91
STKL,1261.0,-1.34,,87.0,-11.0,87.0,-63.19,-12.47,-2.56,2.51,23.64,37.3,33.74,3.17,7.54,1.2,1.74,,2.9
STKS,86.0,0.12,,28.0,6.0,-6.0,32.76,6.01,,4.79,22.18,26.74,30.29,46.1,2.22,0.65,0.57,,3.07
STLD,11822.0,5.35,0.75,235.0,1415.0,3014.0,34.54,17.29,13.79,2.02,50.05,29.53,19.98,5.62,4.21,3.96,0.6,,31.51
STML,,-2.99,,28.0,-72.0,42.0,-190.48,-130.31,,,66.47,,,,,2.97,,,11.06
STMP,587.0,8.99,,19.0,276.0,78.0,30.35,22.02,74.57,0.49,71.96,51.11,,,15.9,1.52,0.08,9.64,83.519997
STND,34.0,1.88,0.88,5.0,13.0,,6.47,0.91,,1.11,14.19,,,,4.21,,0.76,,27.549999
STNE,,,,223.0,,,-21.82,-2.08,0.6,49.3,7.06,4527.52,74.47,,2.33,1.57,0.01,,23.57
STOK,,-0.53,,24.0,-11.0,104.0,-24.13,-22.77,,,97.7,,,,,43.03,,,37.439999
STRA,634.0,-1.03,1.5,15.0,47.0,295.0,-1.92,-1.58,,4.34,85.8,22.68,,,6.46,3.36,,,141.740005
STRL,1038.0,0.93,,27.0,39.0,123.0,16.48,5.33,3.53,1.27,34.63,49.06,38.75,238.39,19.5,1.69,0.48,,13.24
STRM,24.0,-0.16,,19.0,2.0,-2.0,-28.58,-7.87,-5.71,7.75,50.37,56.17,27.59,,15.88,0.84,0.42,21.99,1.25
